"pass","bill_name_raw","bill_artist_raw","attr_name_raw","attr_artist_raw","match_note"
2,"As She's Walking Away","Zac Brown Band","As She's Walking Away (feat. Alan Jackson)","Zac Brown Band","normalize_title removes version tags + feat."
2,"Ass Back Home","Gym Class Heroes","Ass Back Home (feat. Neon Hitch)","Gym Class Heroes","normalize_title removes version tags + feat."
2,"At Last","Beyonce","At Last - Live","Beyonce","normalize_title removes version tags + feat."
2,"Awnaw","Nappy Roots","Awnaw (Modified-Squeaky Clean)","Nappy Roots","normalize_title removes version tags + feat."
2,"Baby Blue","Action Bronson","Baby Blue (feat. Chance the Rapper)","Action Bronson","normalize_title removes version tags + feat."
2,"Baby Boy","Beyonce","Baby Boy (feat. Sean Paul)","Beyonce","normalize_title removes version tags + feat."
2,"Baby Boy","Beyonce","Baby Boy - Live","Beyonce","normalize_title removes version tags + feat."
2,"Baby By Me","50 Cent","Baby By Me (Featuring Ne-Yo)","50 Cent","normalize_title removes version tags + feat."
2,"Baby","Fabolous","Baby (feat. Mike Shorey)","Fabolous","normalize_title removes version tags + feat."
2,"Backseat","New Boyz","Backseat (feat. The Cataracs & Dev)","New Boyz","normalize_title removes version tags + feat."
2,"Bad And Boujee","Migos","Bad and Boujee (feat. Lil Uzi Vert)","Migos","normalize_title removes version tags + feat."
2,"Bad Boyz","Shyne","Bad Boyz (feat. Barrington Levy)","Shyne","normalize_title removes version tags + feat."
2,"Bad For You","Meek Mill","Bad for You (feat. Nicki Minaj)","Meek Mill","normalize_title removes version tags + feat."
2,"Bag Of Money","Wale","Bag of Money (feat. Rick Ross & T-Pain)","Wale","normalize_title removes version tags + feat."
2,"Baggage Claim","Miranda Lambert","Baggage Claim - Radio Edit","Miranda Lambert","normalize_title removes version tags + feat."
2,"Ball","T.I.","Ball (feat. Lil Wayne)","T.I.","normalize_title removes version tags + feat."
2,"Ballin' Out Of Control","Jermaine Dupri","Ballin' Out of Control (feat. Nate Dogg)","Jermaine Dupri","normalize_title removes version tags + feat."
2,"Bang My Head","David Guetta","Bang My Head (feat. Sia & Fetty Wap)","David Guetta","normalize_title removes version tags + feat."
2,"Bang My Head","David Guetta","Bang My Head (feat. Sia)","David Guetta","normalize_title removes version tags + feat."
2,"Be On You","Flo Rida","Be On You (feat. Ne-Yo)","Flo Rida","normalize_title removes version tags + feat."
2,"Beat It","Fall Out Boy","Beat It - Live At The Cricket Pavillion /2007","Fall Out Boy","normalize_title removes version tags + feat."
2,"Beat It","Fall Out Boy","Beat It - Live In Tokyo / 2013","Fall Out Boy","normalize_title removes version tags + feat."
2,"Beat It","Sean Kingston","Beat It (feat. Chris Brown & Wiz Khalifa)","Sean Kingston","normalize_title removes version tags + feat."
2,"Bed","Nicki Minaj","Bed (feat. Ariana Grande)","Nicki Minaj","normalize_title removes version tags + feat."
2,"Best Of Me","Mya","Best Of Me (Featuring Jadakiss)","Mya","normalize_title removes version tags + feat."
2,"Bet I","B.o.B","Bet I (feat. T.I. & Playboy Tre)","B.o.B","normalize_title removes version tags + feat."
2,"Better With The Lights Off","New Boyz","Better with the Lights Off (feat. Chris Brown)","New Boyz","normalize_title removes version tags + feat."
2,"Big Bank","YG","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","YG","normalize_title removes version tags + feat."
2,"Blame","Calvin Harris","Blame (feat. John Newman)","Calvin Harris","normalize_title removes version tags + feat."
2,"Bohemian Rhapsody","Panic! At The Disco","Bohemian Rhapsody - Live at Amway Center, Orlando, FL, 4/14/2017","Panic! At The Disco","normalize_title removes version tags + feat."
2,"Bon Appetit","Katy Perry","Bon appétit","Katy Perry","normalize_title removes version tags + feat."
2,"Bossy","Kelis","Bossy Featuring Too $hort (feat. Too $hort)","Kelis","normalize_title removes version tags + feat."
2,"Both Of Us","B.o.B","Both of Us (feat. Taylor Swift)","B.o.B","normalize_title removes version tags + feat."
2,"Bottom Of The Bottle","Curren$Y","Bottom of the Bottle (feat. August Alsina & Lil Wayne)","Curren$Y","normalize_title removes version tags + feat."
2,"Bottoms Up","Trey Songz","Bottoms Up (feat. Nicki Minaj)","Trey Songz","normalize_title removes version tags + feat."
2,"Bounce","Sarah Connor","Bounce - Original Version","Sarah Connor","normalize_title removes version tags + feat."
2,"Breathe, Stretch, Shake","Mase","Breathe, Stretch, Shake (feat. P. Diddy)","Mase","normalize_title removes version tags + feat."
2,"Bruises","Train","Bruises (feat. Ashley Monroe)","Train","normalize_title removes version tags + feat."
2,"Bump, Bump, Bump","B2K, P. Diddy","Bump, Bump, Bump (feat. P. Diddy)","B2K","normalize_title removes version tags + feat."
2,"Butterfly Fly Away","Miley Cyrus, Billy Ray Cyrus","Butterfly Fly Away - Live","Miley Cyrus","normalize_title removes version tags + feat."
2,"Can't Believe","Faith Evans","Can't Believe (feat. Carl Thomas)","Faith Evans","normalize_title removes version tags + feat."
2,"Can't Deny It","Fabolous","Can't Deny It (feat. Nate Dogg)","Fabolous","normalize_title removes version tags + feat."
2,"Can't Hold Us Down","Christina Aguilera","Can't Hold Us Down (feat. Lil' Kim)","Christina Aguilera","normalize_title removes version tags + feat."
2,"Can't Leave 'Em Alone","Ciara","Can't Leave 'Em Alone (feat. 50 Cent)","Ciara","normalize_title removes version tags + feat."
2,"Can't Let You Go","Fabolous","Can't Let You Go (feat. Mike Shorey & Lil' Mo)","Fabolous","normalize_title removes version tags + feat."
2,"Can't Stop Loving You","Phil Collins","Can't Stop Loving You - 2016 Remaster","Phil Collins","normalize_title removes version tags + feat."
2,"Can't Stop Loving You","Phil Collins","Can't Stop Loving You - Live 2004","Phil Collins","normalize_title removes version tags + feat."
2,"Carry Out","Timbaland","Carry Out (Featuring Justin Timberlake)","Timbaland","normalize_title removes version tags + feat."
2,"Celebrate","DJ Khaled","Celebrate (feat. Travis Scott & Post Malone)","DJ Khaled","normalize_title removes version tags + feat."
2,"Chantaje","Shakira","Chantaje (feat. Maluma)","Shakira","normalize_title removes version tags + feat."
2,"Check On It","Beyonce","Check On It - Live","Beyonce","normalize_title removes version tags + feat."
2,"Chickenhead","Project Pat","Chickenhead (feat. La Chat & Three 6 Mafia)","Project Pat","normalize_title removes version tags + feat."
2,"Club Can't Handle Me","Flo Rida","Club Can't Handle Me (feat. David Guetta)","Flo Rida","normalize_title removes version tags + feat."
2,"Come To Me","Diddy","Come to Me (feat. Nicole Scherzinger)","Diddy","normalize_title removes version tags + feat."
2,"Cookie Jar","Gym Class Heroes","Cookie Jar (feat. The-Dream)","Gym Class Heroes","normalize_title removes version tags + feat."
2,"Country Boy","Aaron Lewis","Country Boy (Acoustic Version)","Aaron Lewis","normalize_title removes version tags + feat."
2,"Country Boy","Aaron Lewis","Country Boy (feat. George Jones & Charlie Daniels)","Aaron Lewis","normalize_title removes version tags + feat."
2,"Country Boy","Aaron Lewis","Country Boy (Radio Edit)","Aaron Lewis","normalize_title removes version tags + feat."
2,"Crazy In Love","Beyonce","Crazy In Love (feat. Jay-Z)","Beyonce","normalize_title removes version tags + feat."
2,"Crazy In Love","Beyonce","Crazy In Love - Live","Beyonce","normalize_title removes version tags + feat."
2,"Cross Me","Ed Sheeran","Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran","normalize_title removes version tags + feat."
2,"Crush Tonight","Fat Joe","Crush Tonight (feat. Ginuwine)","Fat Joe","normalize_title removes version tags + feat."
2,"Crybaby","Mariah Carey","Crybaby (feat. Snoop Dogg)","Mariah Carey","normalize_title removes version tags + feat."
2,"Cuddy Buddy","Mike Jones","Cuddy Buddy (feat. Lil Wayne, T-Pain & Twista)","Mike Jones","normalize_title removes version tags + feat."
2,"Culture","Migos","Culture (feat. DJ Khaled)","Migos","normalize_title removes version tags + feat."
2,"Customer","Raheem DeVaughn","Customer (feat. R. Kelly)","Raheem DeVaughn","normalize_title removes version tags + feat."
2,"Cyclone","Baby Bash","Cyclone (feat. T-Pain)","Baby Bash","normalize_title removes version tags + feat."
2,"Dance With My Father","Luther Vandross","Dance With My Father - Radio Version","Luther Vandross","normalize_title removes version tags + feat."
2,"Dangerous","David Guetta","Dangerous (feat. Sam Martin)","David Guetta","normalize_title removes version tags + feat."
2,"Dangerous","Meek Mill","Dangerous (feat. Jeremih and PnB Rock)","Meek Mill","normalize_title removes version tags + feat."
2,"Dark Side Of The Moon","Lil Wayne","Dark Side Of The Moon (feat. Nicki Minaj)","Lil' Wayne","normalize_title removes version tags + feat."
2,"Dead And Gone","T.I.","Dead And Gone (feat. Justin Timberlake)","T.I.","normalize_title removes version tags + feat."
2,"Dedication","Nipsey Hussle","Dedication (feat. Kendrick Lamar)","Nipsey Hussle","normalize_title removes version tags + feat."
2,"Deja Vu","3OH!3","Déjà Vu","3OH!3","normalize_title removes version tags + feat."
2,"Deja Vu","Beyonce","Deja Vu (feat. Jay-Z)","Beyonce","normalize_title removes version tags + feat."
2,"Diary","Alicia Keys","Diary (feat. Tony! Toni! Tone! & Jermaine Paul)","Alicia Keys","normalize_title removes version tags + feat."
2,"Dip It Low","Christina Milian","Dip It Low - Feat. Fabolous","Christina Milian","normalize_title removes version tags + feat."
2,"Dirrty","Christina Aguilera","Dirrty (feat. Redman)","Christina Aguilera","normalize_title removes version tags + feat."
2,"DJ Got Us Fallin' In Love","Usher","DJ Got Us Fallin' In Love (feat. Pitbull)","Usher","normalize_title removes version tags + feat."
2,"Do You Mind","DJ Khaled","Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross)","DJ Khaled","normalize_title removes version tags + feat."
2,"Donald Trump","Mac Miller","Donald Trump - Live In London","Mac Miller","normalize_title removes version tags + feat."
2,"Don't Cry","Lil Wayne","Don't Cry (feat. XXXTENTACION)","Lil' Wayne","normalize_title removes version tags + feat."
2,"Don't Happen Twice","Kenny Chesney","Don't Happen Twice - Live","Kenny Chesney","normalize_title removes version tags + feat."
2,"Don't Hurt Yourself","Beyonce","Don't Hurt Yourself (feat. Jack White)","Beyonce","normalize_title removes version tags + feat."
2,"Don't Let Me Get Me","P!nk","Don't Let Me Get Me - Radio Edit","P!nk","normalize_title removes version tags + feat."
2,"Don't Mess With My Man","Nivea","Don't Mess With My Man (feat. Brian Casey & Brandon Casey)","Nivea","normalize_title removes version tags + feat."
2,"Don't Quit","DJ Khaled, Calvin Harris","Don't Quit (feat. Travis Scott & Jeremih)","DJ Khaled","normalize_title removes version tags + feat."
2,"dontchange","Musiq","Dontchange - Album Version (Edited)","Musiq","normalize_title removes version tags + feat."
2,"Dope New Gospel","Lil Wayne","Dope New Gospel (feat. Nivea)","Lil' Wayne","normalize_title removes version tags + feat."
2,"Double Up","Nipsey Hussle","Double Up (feat. Belly and Dom Kennedy)","Nipsey Hussle","normalize_title removes version tags + feat."
2,"Echame La Culpa","Luis Fonsi, Demi Lovato","Échame La Culpa","Luis Fonsi","normalize_title removes version tags + feat."
2,"El Perdon","Nicky Jam, Enrique Iglesias","El Perdón","Nicky Jam","normalize_title removes version tags + feat."
2,"Elevator","Flo Rida","Elevator (feat. Timbaland)","Flo Rida","normalize_title removes version tags + feat."
2,"Ella Y Yo","Aventura","Ella y Yo (feat. Don Omar)","Aventura","normalize_title removes version tags + feat."
2,"Ella Y Yo","Aventura","Ella Y Yo - Featuring Don Omar","Aventura","normalize_title removes version tags + feat."
2,"Ella Y Yo","Aventura","Ella y Yo - Live","Aventura","normalize_title removes version tags + feat."
2,"Erase Me","Kid Cudi","Erase Me - Album Version (Edited)","Kid Cudi","normalize_title removes version tags + feat."
2,"Escapate Conmigo","Wisin","Escápate Conmigo (feat. Ozuna)","Wisin","normalize_title removes version tags + feat."
2,"Every Other Time","LFO","Every Other Time - Radio Edit & Album Version","LFO","normalize_title removes version tags + feat."
2,"Everything","Michael Buble","Everything - Live from Madison Square Garden","Michael Buble","normalize_title removes version tags + feat."
2,"Everytime Tha Beat Drop","Monica","Everytime Tha Beat Drop (feat. Dem Franchize Boyz)","Monica","normalize_title removes version tags + feat."
2,"Faith","George Michael","Faith - Remastered","George Michael","normalize_title removes version tags + feat."
2,"Fallin'","Alicia Keys","Fallin' - Live at Metropolis Studios, New York, NY - May 2013","Alicia Keys","normalize_title removes version tags + feat."
2,"Famous","Lil Wayne","Famous (feat. Reginae Carter)","Lil' Wayne","normalize_title removes version tags + feat."
2,"Feel Good Time","P!nk","Feel Good Time (feat. William Orbit)","P!nk","normalize_title removes version tags + feat."
2,"Feel So Close","Calvin Harris","Feel So Close - Radio Edit","Calvin Harris","normalize_title removes version tags + feat."
2,"Feelin' Freaky","Nick Cannon","Feelin' Freaky (feat. B2K)","Nick Cannon","normalize_title removes version tags + feat."
2,"Fiesta","R. Kelly","Fiesta - Album Version (Street)","R. Kelly","normalize_title removes version tags + feat."
2,"Fireball","Pitbull","Fireball (feat. John Ryan)","Pitbull","normalize_title removes version tags + feat."
2,"Floating","ScHoolboy Q","Floating (feat. 21 Savage)","ScHoolboy Q","normalize_title removes version tags + feat."
2,"Focused","Wale","Focused (feat. Kid Cudi)","Wale","normalize_title removes version tags + feat."
2,"For Free","DJ Khaled","For Free (feat. Drake)","DJ Khaled","normalize_title removes version tags + feat."
2,"Forward","Beyonce","Forward (feat. James Blake)","Beyonce","normalize_title removes version tags + feat."
2,"Fr Fr","Wiz Khalifa","Fr Fr (feat. Lil Skies)","Wiz Khalifa","normalize_title removes version tags + feat."
2,"Free Fallin'","John Mayer","Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007","John Mayer","normalize_title removes version tags + feat."
2,"Freedom","Beyonce","Freedom (feat. Kendrick Lamar)","Beyonce","normalize_title removes version tags + feat."
2,"Friends","J. Cole","FRIENDS (feat. kiLL edward)","J. Cole","normalize_title removes version tags + feat."
2,"Froze","Meek Mill","Froze (feat. Lil Uzi Vert & Nicki Minaj)","Meek Mill","normalize_title removes version tags + feat."
2,"fuck That Check Up","Meek Mill","Fuck That Check Up (feat. Lil Uzi Vert)","Meek Mill","normalize_title removes version tags + feat."
2,"Fun","Pitbull","Fun (feat. Chris Brown)","Pitbull","normalize_title removes version tags + feat."
2,"Get Me Bodied","Beyonce","Get Me Bodied - Extended Mix","Beyonce","normalize_title removes version tags + feat."
2,"Get Me Bodied","Beyonce","Get Me Bodied - Live","Beyonce","normalize_title removes version tags + feat."
2,"Get No Better","Cassidy","Get No Better (feat. Mashonda)","Cassidy","normalize_title removes version tags + feat."
2,"Get Up","Ciara","Get Up (feat. Chamillionaire)","Ciara","normalize_title removes version tags + feat."
2,"Gettin' Over You","David Guetta, Chris Willis","Gettin' Over You (feat. Fergie & LMFAO)","David Guetta","normalize_title removes version tags + feat."
2,"Ghetto Story Chapter 2","Cham","Ghetto Story Chapter 2 (feat. Alicia Keys)","Cham","normalize_title removes version tags + feat."
2,"Gigolo","Nick Cannon","Gigolo (feat. R. Kelly)","Nick Cannon","normalize_title removes version tags + feat."
2,"Girl On Fire","Alicia Keys","Girl On Fire - Live at Metropolis Studios, New York, NY - May 2013","Alicia Keys","normalize_title removes version tags + feat."
2,"Girl Tonite","Twista","Girl Tonite (feat. Trey Songz)","Twista","normalize_title removes version tags + feat."
2,"Give It Up To Me","Shakira","Give It up to Me (feat. Lil Wayne)","Shakira","normalize_title removes version tags + feat."
2,"Go Ahead And Break My Heart","Blake Shelton","Go Ahead and Break My Heart (feat. Gwen Stefani)","Blake Shelton","normalize_title removes version tags + feat."
2,"Go Loko","YG, Tyga, Jon Z","Go Loko (feat. Tyga, Jon Z)","YG","normalize_title removes version tags + feat."
2,"Going Bad","Meek Mill","Going Bad (feat. Drake)","Meek Mill","normalize_title removes version tags + feat."
2,"Good Girls Go Bad","Cobra Starship","Good Girls Go Bad (feat. Leighton Meester)","Cobra Starship","normalize_title removes version tags + feat."
2,"Good Guy","Eminem","Good Guy (feat. Jessie Reyez)","Eminem","normalize_title removes version tags + feat."
2,"Got Your Money","Ol' Dirty Bastard","Got Your Money (feat. Kelis)","Ol' Dirty Bastard","normalize_title removes version tags + feat."
2,"Gotta Make It","Trey Songz","Gotta Make It (feat. Twista)","Trey Songz","normalize_title removes version tags + feat."
2,"Green Light","John Legend","Green Light (feat. André 3000)","John Legend","normalize_title removes version tags + feat."
2,"Greenlight","Pitbull","Greenlight (feat. Flo Rida & LunchMoney Lewis)","Pitbull","normalize_title removes version tags + feat."
2,"halfcrazy","Musiq","Halfcrazy - Album Version (Edited)","Musiq","normalize_title removes version tags + feat."
2,"Hallelujah","Kate Voegele","Hallelujah (Live)","Kate Voegele","normalize_title removes version tags + feat."
2,"Handgun","YG","HANDGUN (feat. A$AP Rocky)","YG","normalize_title removes version tags + feat."
2,"HeadBand","B.o.B","HeadBand (feat. 2 Chainz)","B.o.B","normalize_title removes version tags + feat."
2,"Heartbreaker","Mariah Carey","Heartbreaker (feat. Jay-Z)","Mariah Carey","normalize_title removes version tags + feat."
2,"Heavy","Linkin Park","Heavy (feat. Kiiara)","Linkin Park","normalize_title removes version tags + feat."
2,"Hello Friday","Flo Rida","Hello Friday (feat. Jason Derulo)","Flo Rida","normalize_title removes version tags + feat."
2,"Here We Go","Trina","Here We Go (feat. Kelly Rowland)","Trina","normalize_title removes version tags + feat."
2,"Hey Mama","David Guetta","Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta","normalize_title removes version tags + feat."
2,"Hey Mama","David Guetta","Hey Mama (feat. Nicki Minaj, TANAKA ALICE & Afrojack)","David Guetta","normalize_title removes version tags + feat."
2,"High End","Chris Brown","High End (feat. Future & Young Thug)","Chris Brown","normalize_title removes version tags + feat."
2,"High School Never Ends","Bowling For Soup","High School Never Ends (Live)","Bowling For Soup","normalize_title removes version tags + feat."
2,"Higher","DJ Khaled","Higher (feat. Nipsey Hussle & John Legend)","DJ Khaled","normalize_title removes version tags + feat."
2,"Hips Don't Lie","Shakira","Hips Don't Lie - Live Version","Shakira","normalize_title removes version tags + feat."
2,"Hit The Floor","Twista","Hit the Floor (feat. Pitbull)","Twista","normalize_title removes version tags + feat."
2,"Hit The Freeway","Toni Braxton","Hit the Freeway - Radio Version With Rap","Toni Braxton","normalize_title removes version tags + feat."
2,"Hold You Down","DJ Khaled","Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih)","DJ Khaled","normalize_title removes version tags + feat."
2,"Hold You Down","Jennifer Lopez","Hold You Down (feat. Fat Joe)","Jennifer Lopez","normalize_title removes version tags + feat."
2,"Hold You","Gyptian","Hold You - feat. Major Lazer","Gyptian","normalize_title removes version tags + feat."
2,"Holy Key","DJ Khaled","Holy Key (feat. Big Sean, Kendrick Lamar & Betty Wright)","DJ Khaled","normalize_title removes version tags + feat."
2,"Hope","Twista","Hope (feat. Cee-Lo)","Twista","normalize_title removes version tags + feat."
2,"Hopeless Romantic","Wiz Khalifa","Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa","normalize_title removes version tags + feat."
2,"Hot Tottie","Usher","Hot Tottie (feat. Jay-Z)","Usher","normalize_title removes version tags + feat."
2,"Hotel","Cassidy","Hotel (feat. R. Kelly)","Cassidy","normalize_title removes version tags + feat."
2,"How Many Licks?","Lil' Kim","How Many Licks? (feat. Sisqo)","Lil' Kim","normalize_title removes version tags + feat."
2,"How Many Times","DJ Khaled","How Many Times (feat. Chris Brown, Lil Wayne & Big Sean)","DJ Khaled","normalize_title removes version tags + feat."
2,"How You Want That","Loon","How You Want That (feat. Kelis)","Loon","normalize_title removes version tags + feat."
2,"Humility","Gorillaz","Humility (feat. George Benson)","Gorillaz","normalize_title removes version tags + feat."
2,"Hypnotized","Plies","Hypnotized (feat. Akon)","Plies","normalize_title removes version tags + feat."
2,"I Am Not My Hair","India.Arie","I Am Not My Hair - Featuring Akon","India.Arie","normalize_title removes version tags + feat."
2,"I Can Only Imagine","David Guetta","I Can Only Imagine (feat. Chris Brown & Lil Wayne)","David Guetta","normalize_title removes version tags + feat."
2,"I Don't Care","Apocalyptica","I Don't Care (feat. Adam Gontier)","Apocalyptica","normalize_title removes version tags + feat."
2,"I Don't Like It, I Love It","Flo Rida","I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida","normalize_title removes version tags + feat."
2,"I Got The Keys","DJ Khaled","I Got the Keys (feat. Jay-Z & Future)","DJ Khaled","normalize_title removes version tags + feat."
2,"I Invented Sex","Trey Songz","I Invented Sex (feat. Drake)","Trey Songz","normalize_title removes version tags + feat."
2,"I Know What You Want","Busta Rhymes, Mariah Carey","I Know What You Want (feat. Flipmode Squad)","Busta Rhymes","normalize_title removes version tags + feat."
2,"I Need Your Love","Calvin Harris","I Need Your Love (feat. Ellie Goulding)","Calvin Harris","normalize_title removes version tags + feat."
2,"I Wanna Dance With Somebody","Whitney Houston","I Wanna Dance with Somebody - Live from That's What Friends Are For: Arista Records 15th Anniversary Concert","Whitney Houston","normalize_title removes version tags + feat."
2,"I Want It All","Warren G","I Want It All (feat. Mack 10)","Warren G","normalize_title removes version tags + feat."
2,"If We Ever Meet Again","Timbaland","If We Ever Meet Again (Featuring Katy Perry)","Timbaland","normalize_title removes version tags + feat."
2,"IfULeave","Musiq Soulchild","ifuleave [feat. Mary J. Blige]","Musiq Soulchild","normalize_title removes version tags + feat."
2,"I'm Awesome","Spose","I’m Awesome (Live)","Spose","normalize_title removes version tags + feat."
2,"I'm Movin' On","Rascal Flatts","I'm Movin' On - Live In Concert","Rascal Flatts","normalize_title removes version tags + feat."
2,"I'm Out","Ciara","I'm Out (feat. Nicki Minaj)","Ciara","normalize_title removes version tags + feat."
2,"I'm The One","DJ Khaled","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled","normalize_title removes version tags + feat."
2,"In The Ayer","Flo Rida","In the Ayer (feat. will.I.am)","Flo Rida","normalize_title removes version tags + feat."
2,"It's So Hard","Big Punisher","It's So Hard (featuring Donell Jones)","Big Punisher","normalize_title removes version tags + feat."
2,"Jam","Kevin Gates","Jam (feat. Trey Songz, Ty Dolla $ign and Jamie Foxx)","Kevin Gates","normalize_title removes version tags + feat."
2,"Jamboree","Naughty By Nature","Jamboree (feat. Zhané)","Naughty By Nature","normalize_title removes version tags + feat."
2,"Jealous","DJ Khaled","Jealous (feat. Chris Brown, Lil Wayne & Big Sean)","DJ Khaled","normalize_title removes version tags + feat."
2,"John Doe","B.o.B","John Doe (feat. Priscilla)","B.o.B","normalize_title removes version tags + feat."
2,"Jump Out The Face","Meek Mill","Jump Out the Face (feat. Future)","Meek Mill","normalize_title removes version tags + feat."
2,"Jump","Flo Rida","Jump (feat. Nelly Furtado)","Flo Rida","normalize_title removes version tags + feat."
2,"Just A Friend 2002","Mario","Just a Friend 2002 - Radio Edit","Mario","normalize_title removes version tags + feat."
2,"Just Give Me A Reason","P!nk","Just Give Me a Reason (feat. Nate Ruess)","P!nk","normalize_title removes version tags + feat."
2,"Just Us","DJ Khaled","Just Us (feat. SZA)","DJ Khaled","normalize_title removes version tags + feat."
2,"Kelly Price","Migos","Kelly Price (feat. Travis Scott)","Migos","normalize_title removes version tags + feat."
2,"Kernkraft 400","Zombie Nation","Kernkraft 400 - Original Mix","Zombie Nation","normalize_title removes version tags + feat."
2,"King's Dead","Jay Rock, Kendrick Lamar, Future, James Blake","King's Dead (feat. Future)","Jay Rock","normalize_title removes version tags + feat."
2,"Knee Deep","Zac Brown Band","Knee Deep (feat. Jimmy Buffett)","Zac Brown Band","normalize_title removes version tags + feat."
2,"Know No Better","Major Lazer","Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer","normalize_title removes version tags + feat."
2,"La Tortura","Shakira","La Tortura (feat. Alejandro Sanz)","Shakira","normalize_title removes version tags + feat."
2,"La Tortura","Shakira","La Tortura - Live Version","Shakira","normalize_title removes version tags + feat."
2,"Last Night","Diddy","Last Night (feat. Keyshia Cole)","Diddy","normalize_title removes version tags + feat."
2,"Last Time That I Checc'd","Nipsey Hussle","Last Time That I Checc'd (feat. YG)","Nipsey Hussle","normalize_title removes version tags + feat."
2,"Laundromat","Nivea","Laundromat - Radio Edit","Nivea","normalize_title removes version tags + feat."
2,"Law","Yo Gotti","Law (feat. E-40)","Yo Gotti","normalize_title removes version tags + feat."
2,"Let It Fly","Lil Wayne","Let It Fly (feat. Travis Scott)","Lil' Wayne","normalize_title removes version tags + feat."
2,"Let It Go","Idina Menzel","Let It Go - Live","Idina Menzel","normalize_title removes version tags + feat."
2,"Let It Go","Wiz Khalifa","Let It Go (feat. Akon)","Wiz Khalifa","normalize_title removes version tags + feat."
2,"Let's Get Down","Bow Wow","Let's Get Down - Extended Album Version","Bow Wow","normalize_title removes version tags + feat."
2,"Let's Go","Calvin Harris","Let's Go (feat. Ne-Yo)","Calvin Harris","normalize_title removes version tags + feat."
2,"Let's Go","Trick Daddy","Let's Go (feat. Big D & Twista)","Trick Daddy","normalize_title removes version tags + feat."
2,"Life In A Northern Town","Sugarland","Life In A Northern Town - Live","Sugarland","normalize_title removes version tags + feat."
2,"Lights","Ellie Goulding","Lights - Single Version","Ellie Goulding","normalize_title removes version tags + feat."
2,"Little Bad Girl","David Guetta","Little Bad Girl (feat. Taio Cruz & Ludacris)","David Guetta","normalize_title removes version tags + feat."
2,"Little Wonders","Rob Thomas","Little Wonders - Radio Version","Rob Thomas","normalize_title removes version tags + feat."
2,"Litty","Meek Mill","Litty (feat. Tory Lanez)","Meek Mill","normalize_title removes version tags + feat."
